Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
92154,2/17/23,39334,79997,0, , 
92154,2/16/23,39334,79997,86,32402878.76, 
92154,2/15/23,39248,79997,0,43348054.55, 
92154,2/14/23,39248,79997,0, ,0.984749
92154,2/13/23,39248,79997,0,54640031.23, 
92154,2/12/23,39248,79997,0, , 
92154,2/11/23,39248,79997,0, , 
92154,2/10/23,39248,79997,0, , 
92154,2/9/23,39248,79997,94,47301277.28, 
92154,2/8/23,39154,79997,0,52579828.5, 
92154,2/7/23,39154,79997,0, ,0.984671
92154,2/6/23,39154,79997,0,48923790.85, 
92154,2/5/23,39154,79997,0, , 
92154,2/4/23,39154,79997,0, , 
92154,2/3/23,39154,79997,0, , 
92154,2/2/23,39154,79997,80,60558182.19, 
92154,2/1/23,39074,79997,0,28427032.72, 
92154,1/31/23,39074,79997,0, ,0.984513
92154,1/30/23,39074,79997,0,48645821.33, 
92154,1/29/23,39074,79997,0, , 
92154,1/28/23,39074,79997,0, , 
92154,1/27/23,39074,79997,0, , 
92154,1/26/23,39074,79997,86,53238631.35, 
92154,1/25/23,38988,79997,0,25099494.48, 
92154,1/24/23,38988,79997,0, ,0.984333
92154,1/23/23,38988,79997,0,36443506.38, 
92154,1/22/23,38988,79997,0, , 
92154,1/21/23,38988,79997,0, , 
92154,1/20/23,38988,79997,0, , 
92154,1/19/23,38988,79997,126, , 
92154,1/18/23,38862,79997,0,27921515.66, 
92154,1/17/23,38862,79997,0,17404841.22,0.984064
92154,1/16/23,38862,79997,0, , 
92154,1/15/23,38862,79997,0, , 
92154,1/14/23,38862,79997,0, , 
92154,1/13/23,38862,79997,0, , 
92154,1/12/23,38862,79997,185,15438256.18, 
92154,1/11/23,38677,79997,0,22536612.59, 
92154,1/10/23,38677,79997,0, ,0.983693
92154,1/9/23,38677,79997,0,37773239.86, 
92154,1/8/23,38677,79997,0, , 
92154,1/7/23,38677,79997,0, , 
92154,1/6/23,38677,79997,0,27491810.58, 
92154,1/5/23,38677,79997,201,23613956.21, 
92154,1/4/23,38476,79997,0,28260912.98, 
92154,1/3/23,38476,79997,0, ,0.98349
92154,1/2/23,38476,79997,0, , 
92154,1/1/23,38476,79997,0, , 
92154,12/31/22,38476,79997,0, , 
92154,12/30/22,38476,79997,0, , 
92154,12/29/22,38476,79997,153,36424676.27, 
92154,12/28/22,38323,79997,0,42901795.32, 
92154,12/27/22,38323,79997,0, ,0.983344
