Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/liter of wastewater),Proportion of Population Fully Vaccinated
93033,2/17/23,27844,83319,0, , 
93033,2/16/23,27844,83319,19, , 
93033,2/15/23,27825,83319,0, , 
93033,2/14/23,27825,83319,0, ,0.714962
93033,2/13/23,27825,83319,0, , 
93033,2/12/23,27825,83319,0, , 
93033,2/11/23,27825,83319,0, , 
93033,2/10/23,27825,83319,0, , 
93033,2/9/23,27825,83319,30, , 
93033,2/8/23,27795,83319,0, , 
93033,2/7/23,27795,83319,0, ,0.714785
93033,2/6/23,27795,83319,0, , 
93033,2/5/23,27795,83319,0, , 
93033,2/4/23,27795,83319,0, , 
93033,2/3/23,27795,83319,0, , 
93033,2/2/23,27795,83319,34, , 
93033,2/1/23,27761,83319,0, , 
93033,1/31/23,27761,83319,0, ,0.714667
93033,1/30/23,27761,83319,0, , 
93033,1/29/23,27761,83319,0, , 
93033,1/28/23,27761,83319,0, , 
93033,1/27/23,27761,83319,0, , 
93033,1/26/23,27761,83319,29, , 
93033,1/25/23,27732,83319,0, , 
93033,1/24/23,27732,83319,0, ,0.714596
93033,1/23/23,27732,83319,0, , 
93033,1/22/23,27732,83319,0, , 
93033,1/21/23,27732,83319,0, , 
93033,1/20/23,27732,83319,0, , 
93033,1/19/23,27732,83319,29, , 
93033,1/18/23,27703,83319,0, , 
93033,1/17/23,27703,83319,0, ,0.714525
93033,1/16/23,27703,83319,0, , 
93033,1/15/23,27703,83319,0, , 
93033,1/14/23,27703,83319,0, , 
93033,1/13/23,27703,83319,0, , 
93033,1/12/23,27703,83319,47, , 
93033,1/11/23,27656,83319,0, , 
93033,1/10/23,27656,83319,0, ,0.714395
93033,1/9/23,27656,83319,0, , 
93033,1/8/23,27656,83319,0, , 
93033,1/7/23,27656,83319,0, , 
93033,1/6/23,27656,83319,0, , 
93033,1/5/23,27656,83319,67, , 
93033,1/4/23,27589,83319,0, , 
93033,1/3/23,27589,83319,0, ,0.714265
93033,1/2/23,27589,83319,0, , 
93033,1/1/23,27589,83319,0, , 
93033,12/31/22,27589,83319,0, , 
93033,12/30/22,27589,83319,0, , 
93033,12/29/22,27589,83319,80, , 
93033,12/28/22,27509,83319,0, , 
93033,12/27/22,27509,83319,0, ,0.714124
93033,12/26/22,27509,83319,0, , 
93033,12/25/22,27509,83319,0, , 
93033,12/24/22,27509,83319,0, , 
93033,12/23/22,27509,83319,0, , 
93033,12/22/22,27509,83319,79, , 
93033,12/21/22,27430,83319,0, , 
93033,12/20/22,27430,83319,0, ,0.713959
93033,12/19/22,27430,83319,0, , 
93033,12/18/22,27430,83319,0, , 
93033,12/17/22,27430,83319,0, , 
93033,12/16/22,27430,83319,0, , 
93033,12/15/22,27430,83319,72, , 
93033,12/14/22,27358,83319,0, , 
93033,12/13/22,27358,83319,0, ,0.713829
93033,12/12/22,27358,83319,0, , 
93033,12/11/22,27358,83319,0, , 
93033,12/10/22,27358,83319,0, , 
93033,12/9/22,27358,83319,13, , 
93033,12/8/22,27345,83319,108, , 
93033,12/7/22,27237,83319,0, , 
93033,12/6/22,27237,83319,0, ,0.713675
93033,12/5/22,27237,83319,0, , 
93033,12/4/22,27237,83319,0, , 
93033,12/3/22,27237,83319,0, , 
93033,12/2/22,27237,83319,0, , 
93033,12/1/22,27237,83319,116, , 
93033,11/30/22,27121,83319,0, , 
93033,11/29/22,27121,83319,0, ,0.713557
93033,11/28/22,27121,83319,0, , 
93033,11/27/22,27121,83319,0, , 
93033,11/26/22,27121,83319,0, , 
93033,11/25/22,27121,83319,0, , 
93033,11/24/22,27121,83319,0, , 
93033,11/23/22,27121,83319,0, , 
93033,11/22/22,27121,83319,0, ,0.713427
93033,11/21/22,27121,83319,0, , 
93033,11/20/22,27121,83319,0, , 
93033,11/19/22,27121,83319,0, , 
93033,11/18/22,27121,83319,0, , 
93033,11/17/22,27121,83319,34, , 
93033,11/16/22,27087,83319,0, , 
93033,11/15/22,27087,83319,0, ,0.713203
93033,11/14/22,27087,83319,0, , 
93033,11/13/22,27087,83319,0, , 
93033,11/12/22,27087,83319,0, , 
93033,11/11/22,27087,83319,0, , 
93033,11/10/22,27087,83319,24, , 
93033,11/9/22,27063,83319,0, , 
93033,11/8/22,27063,83319,0, ,0.713002
93033,11/7/22,27063,83319,0, , 
93033,11/6/22,27063,83319,0, , 
93033,11/5/22,27063,83319,0, , 
93033,11/4/22,27063,83319,0, , 
93033,11/3/22,27063,83319,13,195894, 
93033,11/2/22,27050,83319,0, , 
93033,11/1/22,27050,83319,0,51198,0.712849
93033,10/31/22,27050,83319,0, , 
93033,10/30/22,27050,83319,0, , 
93033,10/29/22,27050,83319,0, , 
93033,10/28/22,27050,83319,0, , 
93033,10/27/22,27050,83319,19, , 
93033,10/26/22,27031,83319,0,100198, 
93033,10/25/22,27031,83319,0, ,0.712613
93033,10/24/22,27031,83319,0,51225, 
93033,10/23/22,27031,83319,0, , 
93033,10/22/22,27031,83319,0, , 
93033,10/21/22,27031,83319,0, , 
93033,10/20/22,27031,83319,31,226609, 
93033,10/19/22,27000,83319,0, , 
93033,10/18/22,27000,83319,0,83887,0.71253
93033,10/17/22,27000,83319,0, , 
93033,10/16/22,27000,83319,0, , 
93033,10/15/22,27000,83319,0, , 
93033,10/14/22,27000,83319,0, , 
93033,10/13/22,27000,83319,42, , 
93033,10/12/22,26958,83319,0,153131, 
93033,10/11/22,26958,83319,0, ,0.712376
93033,10/10/22,26958,83319,0,169409, 
93033,10/9/22,26958,83319,0, , 
93033,10/8/22,26958,83319,0, , 
93033,10/7/22,26958,83319,0, , 
93033,10/6/22,26958,83319,27,578215, 
93033,10/5/22,26931,83319,0, , 
93033,10/4/22,26931,83319,0,91471,0.712046
93033,10/3/22,26931,83319,0, , 
93033,10/2/22,26931,83319,0, , 
93033,10/1/22,26931,83319,0, , 
93033,9/30/22,26931,83319,0, , 
93033,9/29/22,26931,83319,55, , 
93033,9/28/22,26876,83319,0,118862, 
93033,9/27/22,26876,83319,0, ,0.711845
93033,9/26/22,26876,83319,0,260661, 
