Date,Cases.to.Date,Population,New.Cases,Viral.RNA,Vaccine.Proportion
43512,168787,610655,6,95350640.67,NA
43511,168781,610655,151,208576308.9,NA
43510,168630,610655,37,131486393.8,NA
43509,168593,610655,129,248645309.7,0.818413333
43508,168464,610655,30,100264819.3,NA
43507,168434,610655,4,18018765.29,NA
43506,168430,610655,35,234000,NA
43505,168395,610655,52,49132313.76,NA
43504,168343,610655,148,393397469.3,NA
43503,168195,610655,27,191590593.8,NA
43502,168168,610655,82,107849520.3,0.818235083
43501,168086,610655,46,192433549.7,NA
43500,168040,610655,0,12565206.39,NA
43499,168040,610655,10,866000,NA
43498,168030,610655,98,10947447.26,NA
43497,159965,610655,192,278377177.4,NA
43496,167804,610655,24,148242060.6,NA
43495,167780,610655,19,191493254.5,0.818048083
43494,167761,610655,79,121258732.4,NA
43493,167682,610655,3,20989466.57,NA
43492,167679,610655,6,159000,NA
43491,167673,610655,17,39490996.54,NA
43490,167656,610655,148,125444487.1,NA
43489,167508,610655,19,86837846.06,NA
43488,167489,610655,81,94311281.15,0.817808667
43487,167408,610655,46,108176452,NA
43486,167362,610655,1,13907720.19,NA
43485,167361,610655,35,102000,NA
43484,167326,610655,5,13280325.63,NA
43483,167321,610655,237,68193046.95,NA
43482,167084,610655,14,87887537.43,NA
43481,167070,610655,123,79344750.07,0.817581917
43480,166947,610655,5,18247612.22,NA
43479,166942,610655,3,9169864.762,NA
43478,166939,610655,16,74000,NA
43477,166923,610655,14,18522766.14,NA
43476,166909,610655,459,57998468.71,NA
43475,166450,610655,9,64166007.05,NA
43474,166441,610655,77,62871197.86,0.81730625
43473,166364,610655,60,66563159.16,NA
43472,166304,610655,4,17968239.11,NA
43471,166300,610655,19,570000,NA
43470,166281,610655,21,37520355.11,NA
43469,166260,610655,326,89602234,NA
43468,165934,610655,169,72201049.42,NA
43467,165765,610655,115,75615303.42,0.816993333
43466,165650,610655,3,14145933.06,NA
43465,165647,610655,6,3300310.907,NA
43464,165641,610655,162,219000,NA
43463,165479,610655,38,17662835.53,NA
43462,165441,610655,275,67971431.06,NA
43461,165166,610655,26,80500200.25,NA
43460,165140,610655,475,88310480.72,0.816777083
43459,164665,610655,9,44946842.59,NA
43458,164656,610655,8,14270028.72,NA
43457,164648,610655,33,471000,NA
43456,164615,610655,25,8981842.009,NA
