Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
1,43512,39334,79997,0, , 
2,43512,5005,25015,0,13073986.91, 
3,43512,5277,31488,6,522000, 
4,43512,14666,63911,0, , 
5,43512,12187,44245,0, , 
6,43512,12166,48666,0, , 
7,43512,16961,72446,0, , 
8,43512,8148,38414,0, , 
9,43512,9903,47367,0, , 
10,43512,24475,86703,0, , 
11,43512,13859,42483,0, , 
12,43512,6806,29920,0,81754653.76, 
1,43511,39334,79997,86,32402878.76, 
2,43511,5005,25015,8, , 
3,43511,5271,31488,4,486818.8, 
4,43511,14666,63911,0,19961831.96, 
5,43511,12187,44245,0,49759947.91, 
6,43511,12166,48666,0,15849787.28, 
7,43511,16961,72446,0,23258795.78, 
8,43511,8148,38414,4,8252074.115, 
9,43511,9903,47367,18,19457407.97, 
10,43511,24475,86703,29,13777190.56, 
11,43511,13859,42483,2,25369575.79, 
12,43511,6806,29920,0, , 
1,43510,39248,79997,0,43348054.55, 
2,43510,4997,25015,0,17869566.67, 
3,43510,5267,31488,1, , 
4,43510,14666,63911,7, , 
5,43510,12187,44245,6, , 
6,43510,12166,48666,8,26125680.63, 
7,43510,16961,72446,4, , 
8,43510,8144,38414,7,18635503.34, 
9,43510,9885,47367,0, , 
10,43510,24446,86703,0,11593643.46, 
11,43510,13857,42483,3, , 
12,43510,6806,29920,1,13913945.13, 
1,43509,39248,79997,0, ,0.984749
2,43509,4997,25015,0, ,0.754147
3,43509,5266,31488,3,122000,0.703684
4,43509,14659,63911,25,8497708.671,0.866526
5,43509,12181,44245,25,130425435.8,0.885798
6,43509,12158,48666,27,8367852.973,0.872635
7,43509,16957,72446,37,25900002.51,0.822315
8,43509,8137,38414,6,14549507.51,0.837035
9,43509,9885,47367,0,32315456.49,0.75762
10,43509,24446,86703,0, ,0.789069
11,43509,13854,42483,2,28467345.79,0.772212
12,43509,6805,29920,4, ,0.77517
1,43508,39248,79997,0,54640031.23, 
2,43508,4997,25015,4, , 
3,43508,5263,31488,1,472000, 
4,43508,14634,63911,0, , 
5,43508,12156,44245,0, , 
6,43508,12131,48666,0, , 
7,43508,16920,72446,0, , 
8,43508,8131,38414,0, , 
9,43508,9885,47367,13, , 
10,43508,24446,86703,12, , 
11,43508,13852,42483,1,27333425.03, 
12,43508,6801,29920,-1,17819363.06, 
1,43507,39248,79997,0, , 
2,43507,4993,25015,0, , 
3,43507,5262,31488,4,613000, 
4,43507,14634,63911,0, , 
5,43507,12156,44245,0, , 
6,43507,12131,48666,0, , 
7,43507,16920,72446,0, , 
8,43507,8131,38414,0, , 
9,43507,9872,47367,0,17405765.29, 
10,43507,24434,86703,0, , 
11,43507,13851,42483,0, , 
12,43507,6802,29920,0, , 
1,43506,39248,79997,0, , 
2,43506,4993,25015,0, , 
3,43506,5258,31488,5,234000, 
4,43506,14634,63911,9, , 
5,43506,12156,44245,1, , 
6,43506,12131,48666,11, , 
7,43506,16920,72446,3, , 
8,43506,8131,38414,4, , 
9,43506,9872,47367,0, , 
10,43506,24434,86703,0, , 
11,43506,13851,42483,1, , 
12,43506,6802,29920,1, , 
1,43505,39248,79997,0, , 
2,43505,4993,25015,0,14491784.47, 
3,43505,5253,31488,1,273000, 
4,43505,14625,63911,0, , 
5,43505,12155,44245,0, , 
6,43505,12120,48666,0, , 
7,43505,16917,72446,0, , 
8,43505,8127,38414,3, , 
9,43505,9872,47367,15, , 
10,43505,24434,86703,24, , 
11,43505,13850,42483,4, , 
12,43505,6801,29920,5,34367529.29, 
1,43504,39248,79997,94,47301277.28, 
2,43504,4993,25015,13, , 
3,43504,5252,31488,4,262000, 
4,43504,14625,63911,9,11389248.65, 
5,43504,12155,44245,8,253904280.2, 
6,43504,12120,48666,6,10687592.04, 
7,43504,16917,72446,5,13876074.62, 
8,43504,8124,38414,2, , 
9,43504,9857,47367,0,14127779.1, 
10,43504,24410,86703,0,22440873.59, 
11,43504,13846,42483,6,19408343.84, 
12,43504,6796,29920,1, , 
1,43503,39154,79997,0,52579828.5, 
