Road Distance Between Location IDs,1,2,3,4,5,6,7,8,9,10,11,12
1,0,,,,,,,,,,,
2,445.916,0,,,,,,,,,,
3,520.416,105.019,0,,,,,,,,,
4,488.462,79.123,43.008,0,,,,,,,,
5,493.853,84.514,36.767,4.723,0,,,,,,,
6,497.067,96.067,29.026,18.771,17.689,0,,,,,,
7,496.571,87.232,36.685,9.936,8.854,12.449,0,,,,,
8,544.728,147.837,41.582,70.542,69.46,52.937,63.669,0,,,,
9,488.777,49.521,67.077,49.773,55.075,67.124,58.414,107.588,0,,,
10,461.136,24.198,88.547,56.445,61.748,73.797,65.087,125.424,32.682,0,,
11,561.771,161.554,55.299,84.259,83.177,66.654,77.385,18.651,121.214,139.064,0,
12,572.705,172.488,66.233,95.192,94.11,77.588,88.319,29.584,132.147,149.998,15.636,0
