Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
94538,2/17/23,14666,63911,0, , 
94538,2/16/23,14666,63911,0,19961831.96, 
94538,2/15/23,14666,63911,7, , 
94538,2/14/23,14659,63911,25,8497708.671,0.866526
94538,2/13/23,14634,63911,0, , 
94538,2/12/23,14634,63911,0, , 
94538,2/11/23,14634,63911,9, , 
94538,2/10/23,14625,63911,0, , 
94538,2/9/23,14625,63911,9,11389248.65, 
94538,2/8/23,14616,63911,4, , 
94538,2/7/23,14612,63911,13,9220693.937,0.8662
94538,2/6/23,14599,63911,0, , 
94538,2/5/23,14599,63911,0, , 
94538,2/4/23,14599,63911,0, , 
94538,2/3/23,14599,63911,15, , 
94538,2/2/23,12524,63911,12,17822958.8, 
94538,2/1/23,14572,63911,3, , 
94538,1/31/23,14569,63911,0,25933011.34,0.865696
94538,1/30/23,14569,63911,11, , 
94538,1/29/23,14558,63911,0, , 
94538,1/28/23,14558,63911,0, , 
94538,1/27/23,14558,63911,2, , 
94538,1/26/23,14556,63911,5,11433440.89, 
94538,1/25/23,14551,63911,0, , 
94538,1/24/23,14551,63911,16, ,0.865281
94538,1/23/23,14535,63911,0, , 
94538,1/22/23,14535,63911,0, , 
94538,1/21/23,14535,63911,7, , 
94538,1/20/23,14528,63911,-2, , 
94538,1/19/23,14530,63911,23,8201340.221, 
94538,1/18/23,14507,63911,0, , 
94538,1/17/23,14507,63911,18,7383077.932,0.865015
94538,1/16/23,14489,63911,0, , 
94538,1/15/23,14489,63911,0, , 
94538,1/14/23,14489,63911,0, , 
94538,1/13/23,14489,63911,0, , 
94538,1/12/23,14489,63911,70,8223745.493, 
94538,1/11/23,14419,63911,0, , 
94538,1/10/23,14419,63911,15,11460402.16,0.864674
94538,1/9/23,14404,63911,0, , 
94538,1/8/23,14404,63911,0, , 
94538,1/7/23,14404,63911,0, , 
94538,1/6/23,14404,63911,0, , 
94538,1/5/23,14404,63911,24,10357905.07, 
94538,1/4/23,14380,63911,40, , 
94538,1/3/23,14340,63911,0,9011020.109,0.86414
94538,1/2/23,14340,63911,0, , 
94538,1/1/23,14340,63911,0, , 
94538,12/31/22,14340,63911,37, , 
94538,12/30/22,14303,63911,-2, , 
94538,12/29/22,14305,63911,29, , 
94538,12/28/22,14276,63911,0, , 
94538,12/27/22,14276,63911,68, ,0.863814
94538,12/26/22,14208,63911,0, , 
94538,12/25/22,14208,63911,0, , 
94538,12/24/22,14208,63911,0, , 
94538,12/23/22,14208,63911,0, , 
94538,12/22/22,14208,63911,22,11077616.59, 
94538,12/21/22,14186,63911,10, , 
94538,12/20/22,14176,63911,77,10569711.46,0.863355
94538,12/19/22,14099,63911,0, , 
94538,12/18/22,14099,63911,0, , 
94538,12/17/22,14099,63911,0, , 
94538,12/16/22,14099,63911,0, , 
94538,12/15/22,14099,63911,26,6722379.315, 
94538,12/14/22,14073,63911,22, , 
94538,12/13/22,14051,63911,17,4065622.287,0.862999
94538,12/12/22,14034,63911,51, , 
94538,12/11/22,13983,63911,0, , 
94538,12/10/22,13983,63911,0, , 
94538,12/9/22,13983,63911,56, , 
94538,12/8/22,13927,63911,9,8471494.068, 
94538,12/7/22,13918,63911,-1, , 
94538,12/6/22,13919,63911,14,765459.1627,0.862688
94538,12/5/22,13905,63911,58, , 
94538,12/4/22,13847,63911,0, , 
94538,12/3/22,13847,63911,0, , 
94538,12/2/22,13847,63911,62, , 
94538,12/1/22,13785,63911,0,490665.4205, 
94538,11/30/22,13785,63911,15, , 
94538,11/29/22,13770,63911,53,298859.7045,0.862154
94538,11/28/22,13717,63911,0, , 
94538,11/27/22,13717,63911,0, , 
94538,11/26/22,13717,63911,0, , 
94538,11/25/22,13717,63911,0, , 
94538,11/24/22,13717,63911,1871, , 
94538,11/23/22,11846,63911,-1849, , 
94538,11/22/22,13695,63911,0,254552.1814,0.86165
94538,11/21/22,13695,63911,38, , 
94538,11/20/22,13657,63911,0, , 
94538,11/19/22,13657,63911,0, , 
94538,11/18/22,13657,63911,18, , 
94538,11/17/22,13639,63911,38,337862.1288, 
94538,11/16/22,13601,63911,0, , 
94538,11/15/22,13601,63911,0,82827.07252,0.861102
94538,11/14/22,13601,63911,44, , 
94538,11/13/22,13557,63911,0, , 
94538,11/12/22,13557,63911,0, , 
94538,11/11/22,13557,63911,0, , 
94538,11/10/22,13557,63911,10,105649.5172, 
94538,11/9/22,13547,63911,33, , 
94538,11/8/22,13514,63911,0,85777.28908,0.86045
94538,11/7/22,13514,63911,8, , 
94538,11/6/22,13506,63911,0, , 
94538,11/5/22,13506,63911,1827, , 
94538,11/4/22,11679,63911,-1820, , 
94538,11/3/22,13499,63911,18,165903.5501, 
94538,11/2/22,13481,63911,0, , 
94538,11/1/22,13481,63911,0,55663.28543,0.859798
94538,10/31/22,13481,63911,90, , 
94538,10/30/22,13391,63911,0, , 
94538,10/29/22,13391,63911,0, , 
94538,10/28/22,13391,63911,0, , 
94538,10/27/22,13391,63911,20, , 
94538,10/26/22,13371,63911,21, , 
94538,10/25/22,13350,63911,0, ,0.859146
94538,10/24/22,13350,63911,0, , 
94538,10/23/22,13350,63911,0, , 
94538,10/22/22,13350,63911,0, , 
94538,10/21/22,13350,63911,924, , 
94538,10/20/22,12426,63911,-913, , 
94538,10/19/22,13339,63911,0, , 
94538,10/18/22,13339,63911,30, ,0.858331
94538,10/17/22,13309,63911,0, , 
94538,10/16/22,13309,63911,0, , 
94538,10/15/22,13309,63911,0, , 
94538,10/14/22,13309,63911,4448, , 
94538,10/13/22,8861,63911,-4433, , 
94538,10/12/22,13294,63911,0, , 
94538,10/11/22,13294,63911,17, ,0.857604
94538,10/10/22,13277,63911,0, , 
94538,10/9/22,13277,63911,0, , 
94538,10/8/22,13277,63911,0, , 
94538,10/7/22,13277,63911,11, , 
94538,10/6/22,13266,63911,-490, , 
94538,10/5/22,13756,63911,4393, , 
94538,10/4/22,9363,63911,-3928, ,0.856804
94538,10/3/22,13291,63911,0, , 
94538,10/2/22,13291,63911,0, , 
94538,10/1/22,13291,63911,0, , 
94538,9/30/22,13291,63911,11, , 
94538,9/29/22,13280,63911,11, , 
94538,9/28/22,13269,63911,12, , 
94538,9/27/22,13257,63911,11, ,0.85587
94538,9/26/22,13246,63911,8, , 
94538,9/25/22,13238,63911,0, , 
94538,9/24/22,13238,63911,0, , 
94538,9/23/22,13238,63911,9, , 
94538,9/22/22,13229,63911,-227, , 
94538,9/21/22,13456,63911,-50, , 
94538,9/20/22,13506,63911,-338, ,0.854818
94538,9/19/22,13844,63911,364, , 
94538,9/18/22,13480,63911,0, , 
94538,9/17/22,13480,63911,0, , 
94538,9/16/22,13480,63911,169, , 
94538,9/15/22,13311,63911,69, , 
94538,9/14/22,13242,63911,122, , 
94538,9/13/22,13120,63911,0, ,0.853796
94538,9/12/22,13120,63911,2, , 
94538,9/11/22,13118,63911,0, , 
94538,9/10/22,13118,63911,0, , 
94538,9/9/22,13118,63911,27, , 
94538,9/8/22,13091,63911,9, , 
94538,9/7/22,13082,63911,60, , 
94538,9/6/22,13022,63911,0, ,0.853099
94538,9/5/22,13022,63911,0, , 
94538,9/4/22,13022,63911,0, , 
94538,9/3/22,13022,63911,0, , 
94538,9/2/22,13022,63911,0, , 
94538,9/1/22,13022,63911,37, , 
94538,8/31/22,12985,63911,4, , 
94538,8/30/22,12981,63911,-2, ,0.852462
94538,8/29/22,12983,63911,47, , 
94538,8/28/22,12936,63911,0, , 
94538,8/27/22,12936,63911,0, , 
94538,8/26/22,12936,63911,25, , 
94538,8/25/22,12911,63911,82, , 
94538,8/24/22,12829,63911,0, , 
94538,8/23/22,12829,63911,0, ,0.851484
94538,8/22/22,12829,63911,0, , 
94538,8/21/22,12829,63911,0, , 
94538,8/20/22,12829,63911,0, , 
94538,8/19/22,12829,63911,16, , 
94538,8/18/22,12813,63911,33, , 
94538,8/17/22,12780,63911,20, , 
94538,8/16/22,12760,63911,59, ,0.850416
94538,8/15/22,12701,63911,0, , 
94538,8/14/22,12701,63911,0, , 
94538,8/13/22,12701,63911,0, , 
94538,8/12/22,12701,63911,44, , 
94538,8/11/22,12657,63911,0, , 
94538,8/10/22,12657,63911,5, , 
94538,8/9/22,12652,63911,20, ,0.849364
94538,8/8/22,12632,63911,67, , 
94538,8/7/22,12565,63911,0, , 
94538,8/6/22,12565,63911,0, , 
94538,8/5/22,12565,63911,24, , 
94538,8/4/22,12541,63911,0, , 
94538,8/3/22,12541,63911,2, , 
94538,8/2/22,12539,63911,0, ,0.847778
94538,8/1/22,12539,63911,126, , 
94538,7/31/22,12413,63911,0, , 
94538,7/30/22,12413,63911,0, , 
94538,7/29/22,12413,63911,0, , 
94538,7/28/22,12413,63911,82, , 
94538,7/27/22,12331,63911,0, , 
94538,7/26/22,12331,63911,88, ,0.846326
94538,7/25/22,12243,63911,0, , 
94538,7/24/22,12243,63911,0, , 
94538,7/23/22,12243,63911,0, , 
94538,7/22/22,12243,63911,-1, , 
94538,7/21/22,12244,63911,85, , 
94538,7/20/22,12159,63911,142, , 
94538,7/19/22,12017,63911,0, ,0.84474
94538,7/18/22,12017,63911,0, , 
94538,7/17/22,12017,63911,0, , 
94538,7/16/22,12017,63911,0, , 
94538,7/15/22,12017,63911,0, , 
94538,7/14/22,12017,63911,30, , 
94538,7/13/22,11987,63911,18, , 
94538,7/12/22,11969,63911,149, ,0.843984
94538,7/11/22,11820,63911,0, , 
94538,7/10/22,11820,63911,0, , 
94538,7/9/22,11820,63911,0, , 
94538,7/8/22,11820,63911,50, , 
94538,7/7/22,11770,63911,0, , 
94538,7/6/22,11770,63911,94, , 
94538,7/5/22,11676,63911,0, ,0.843347
