Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
93933,2/17/23,5005,25015,0,13073986.91, 
93933,2/16/23,5005,25015,8, , 
93933,2/15/23,4997,25015,0,17869566.67, 
93933,2/14/23,4997,25015,0, ,0.754147
93933,2/13/23,4997,25015,4, , 
93933,2/12/23,4993,25015,0, , 
93933,2/11/23,4993,25015,0, , 
93933,2/10/23,4993,25015,0,14491784.47, 
93933,2/9/23,4993,25015,13, , 
93933,2/8/23,4980,25015,0,22832495.55, 
93933,2/7/23,4980,25015,0, ,0.754068
93933,2/6/23,4980,25015,6,20755670.64, 
93933,2/5/23,4974,25015,0, , 
93933,2/4/23,4974,25015,0, , 
93933,2/3/23,4974,25015,0, , 
93933,2/2/23,4974,25015,6,7005642.137, 
93933,2/1/23,4968,25015,0,7917123.832, 
93933,1/31/23,4968,25015,0, ,0.754029
93933,1/30/23,4968,25015,6, , 
93933,1/29/23,4962,25015,0, , 
93933,1/28/23,4962,25015,0, , 
93933,1/27/23,4962,25015,0,18286504.28, 
93933,1/26/23,4962,25015,3, , 
93933,1/25/23,4959,25015,0, , 
93933,1/24/23,4959,25015,0,23593676.49,0.753793
93933,1/23/23,4959,25015,10, , 
93933,1/22/23,4949,25015,0,9526667.276, 
93933,1/21/23,4949,25015,0, , 
93933,1/20/23,4949,25015,0, , 
93933,1/19/23,4949,25015,2,10163558.47, 
93933,1/18/23,4947,25015,0, , 
93933,1/17/23,4947,25015,3,6336507.634,0.753714
93933,1/16/23,4944,25015,0,8708132.325, 
93933,1/15/23,4944,25015,0, , 
93933,1/14/23,4944,25015,0, , 
93933,1/13/23,4944,25015,0, , 
93933,1/12/23,4944,25015,8, , 
93933,1/11/23,4936,25015,0, , 
93933,1/10/23,4936,25015,0,9041565.778,0.753557
93933,1/9/23,4936,25015,11, , 
93933,1/8/23,4925,25015,0,11563922.28, 
93933,1/7/23,4925,25015,0, , 
93933,1/6/23,4925,25015,0,9606544.529, 
93933,1/5/23,4925,25015,5, , 
93933,1/4/23,4920,25015,0,6825043.283, 
93933,1/3/23,4920,25015,11,7099535.099,0.753203
93933,1/2/23,4909,25015,0, , 
93933,1/1/23,4909,25015,0, , 
93933,12/31/22,4909,25015,0, , 
93933,12/30/22,4909,25015,0, , 
93933,12/29/22,4909,25015,8, , 
93933,12/28/22,4901,25015,0, , 
93933,12/27/22,4901,25015,11, ,0.753125
93933,12/26/22,4890,25015,0,20010989.58, 
93933,12/25/22,4890,25015,0, , 
93933,12/24/22,4890,25015,0, , 
93933,12/23/22,4890,25015,0, , 
93933,12/22/22,4890,25015,20, , 
93933,12/21/22,4870,25015,0, , 
93933,12/20/22,4870,25015,0,83407256.95,0.75285
93933,12/19/22,4870,25015,4, , 
93933,12/18/22,4866,25015,0,11145083.11, 
93933,12/17/22,4866,25015,0, , 
93933,12/16/22,4866,25015,0, , 
93933,12/15/22,4866,25015,9,26498177.08, 
93933,12/14/22,4857,25015,0, , 
93933,12/13/22,4857,25015,0,9926963.2,0.752692
93933,12/12/22,4857,25015,12, , 
93933,12/11/22,4845,25015,0,250924.9877, 
93933,12/10/22,4845,25015,0, , 
93933,12/9/22,4845,25015,0, , 
93933,12/8/22,4845,25015,15,1571291.529, 
93933,12/7/22,4830,25015,0, , 
93933,12/6/22,4830,25015,0,516051.8591,0.752457
93933,12/5/22,4830,25015,29, , 
93933,12/4/22,4801,25015,0,486852.9863, 
93933,12/3/22,4801,25015,0, , 
93933,12/2/22,4801,25015,0, , 
93933,12/1/22,4801,25015,0,252354.7147, 
93933,11/30/22,4801,25015,0, , 
93933,11/29/22,4801,25015,0,535363.7696,0.752378
93933,11/28/22,4801,25015,18, , 
93933,11/27/22,4783,25015,0,182256.4581, 
93933,11/26/22,4783,25015,0, , 
93933,11/25/22,4783,25015,0, , 
93933,11/24/22,4783,25015,0, , 
93933,11/23/22,4783,25015,0, , 
93933,11/22/22,4783,25015,0, ,0.752181
93933,11/21/22,4783,25015,13, , 
93933,11/20/22,4770,25015,0, , 
93933,11/19/22,4770,25015,0, , 
93933,11/18/22,4770,25015,0, , 
93933,11/17/22,4770,25015,7, , 
93933,11/16/22,4763,25015,0, , 
93933,11/15/22,4763,25015,0, ,0.75171
93933,11/14/22,4763,25015,7, , 
93933,11/13/22,4756,25015,0, , 
93933,11/12/22,4756,25015,0, , 
93933,11/11/22,4756,25015,0, , 
93933,11/10/22,4756,25015,10, , 
93933,11/9/22,4746,25015,0, , 
93933,11/8/22,4746,25015,0, ,0.751356
93933,11/7/22,4746,25015,8, , 
93933,11/6/22,4738,25015,0, , 
93933,11/5/22,4738,25015,0, , 
93933,11/4/22,4738,25015,0, , 
93933,11/3/22,4738,25015,8, , 
93933,11/2/22,4730,25015,0, , 
93933,11/1/22,4730,25015,0, ,0.750727
93933,10/31/22,4730,25015,9, , 
93933,10/30/22,4721,25015,0, , 
93933,10/29/22,4721,25015,0, , 
93933,10/28/22,4721,25015,0, , 
93933,10/27/22,4721,25015,4, , 
93933,10/26/22,4717,25015,0, , 
93933,10/25/22,4717,25015,0, ,0.74998
93933,10/24/22,4717,25015,2, , 
93933,10/23/22,4715,25015,0, , 
93933,10/22/22,4715,25015,0, , 
93933,10/21/22,4715,25015,0, , 
93933,10/20/22,4715,25015,9, , 
93933,10/19/22,4706,25015,0, , 
93933,10/18/22,4706,25015,0, ,0.749587
93933,10/17/22,4706,25015,2, , 
93933,10/16/22,4704,25015,0, , 
93933,10/15/22,4704,25015,0, , 
93933,10/14/22,4704,25015,0, , 
93933,10/13/22,4704,25015,12, , 
93933,10/12/22,4692,25015,0, , 
93933,10/11/22,4692,25015,0, ,0.749194
93933,10/10/22,4692,25015,10, , 
93933,10/9/22,4682,25015,0, , 
93933,10/8/22,4682,25015,0, , 
93933,10/7/22,4682,25015,0, , 
93933,10/6/22,4682,25015,6, , 
93933,10/5/22,4676,25015,0, , 
93933,10/4/22,4676,25015,0, ,0.748565
93933,10/3/22,4676,25015,4, , 
93933,10/2/22,4672,25015,0, , 
93933,10/1/22,4672,25015,0, , 
93933,9/30/22,4672,25015,0, , 
93933,9/29/22,4672,25015,8, , 
93933,9/28/22,4664,25015,0, , 
93933,9/27/22,4664,25015,0, ,0.748015
93933,9/26/22,4664,25015,-3, , 
93933,9/25/22,4667,25015,0, , 
93933,9/24/22,4667,25015,0, , 
93933,9/23/22,4667,25015,0, , 
93933,9/22/22,4667,25015,9, , 
93933,9/21/22,4658,25015,0, , 
93933,9/20/22,4658,25015,0, ,0.747504
93933,9/19/22,4658,25015,4, , 
93933,9/18/22,4654,25015,0, , 
93933,9/17/22,4654,25015,0, , 
93933,9/16/22,4654,25015,0, , 
93933,9/15/22,4654,25015,2, , 
93933,9/14/22,4652,25015,0, , 
93933,9/13/22,4652,25015,0, ,0.74715
93933,9/12/22,4652,25015,5, , 
93933,9/11/22,4647,25015,0, , 
93933,9/10/22,4647,25015,0, , 
93933,9/9/22,4647,25015,0, , 
93933,9/8/22,4647,25015,3, , 
93933,9/7/22,4644,25015,0, , 
93933,9/6/22,4644,25015,15, ,0.746915
93933,9/5/22,4629,25015,0, , 
93933,9/4/22,4629,25015,0, , 
93933,9/3/22,4629,25015,0, , 
93933,9/2/22,4629,25015,0, , 
93933,9/1/22,4629,25015,9, , 
93933,8/31/22,4620,25015,0, , 
93933,8/30/22,4620,25015,0, ,0.746797
93933,8/29/22,4620,25015,12, , 
93933,8/28/22,4608,25015,0, , 
93933,8/27/22,4608,25015,0, , 
93933,8/26/22,4608,25015,0, , 
93933,8/25/22,4608,25015,10, , 
93933,8/24/22,4598,25015,0, , 
93933,8/23/22,4598,25015,0, ,0.746443
93933,8/22/22,4598,25015,39, , 
93933,8/21/22,4559,25015,0, , 
93933,8/20/22,4559,25015,0, , 
93933,8/19/22,4559,25015,0, , 
93933,8/18/22,4559,25015,0, , 
93933,8/17/22,4559,25015,0, , 
93933,8/16/22,4559,25015,0, ,0.746011
93933,8/15/22,4559,25015,25, , 
93933,8/14/22,4534,25015,0, , 
93933,8/13/22,4534,25015,0, , 
93933,8/12/22,4534,25015,0, , 
93933,8/11/22,4534,25015,0, , 
93933,8/10/22,4534,25015,0, , 
93933,8/9/22,4534,25015,0, ,0.745342
93933,8/8/22,4534,25015,34, , 
93933,8/7/22,4500,25015,0, , 
93933,8/6/22,4500,25015,0, , 
93933,8/5/22,4500,25015,0, , 
93933,8/4/22,4500,25015,0, , 
93933,8/3/22,4500,25015,0, , 
93933,8/2/22,4500,25015,0, ,0.744517
93933,8/1/22,4500,25015,44, , 
93933,7/31/22,4456,25015,0, , 
93933,7/30/22,4456,25015,0, , 
93933,7/29/22,4456,25015,0, , 
93933,7/28/22,4456,25015,0, , 
93933,7/27/22,4456,25015,0, , 
93933,7/26/22,4456,25015,0, ,0.744124
93933,7/25/22,4456,25015,36, , 
93933,7/24/22,4420,25015,0, , 
93933,7/23/22,4420,25015,0, , 
93933,7/22/22,4420,25015,0, , 
93933,7/21/22,4420,25015,21, , 
93933,7/20/22,4399,25015,0, , 
93933,7/19/22,4399,25015,0, ,0.743181
93933,7/18/22,4399,25015,30, , 
93933,7/17/22,4369,25015,0, , 
93933,7/16/22,4369,25015,0, , 
93933,7/15/22,4369,25015,0, , 
93933,7/14/22,4369,25015,39, , 
93933,7/13/22,4330,25015,0, , 
93933,7/12/22,4330,25015,0, ,0.742159
93933,7/11/22,4330,25015,25, , 
93933,7/10/22,4305,25015,0, , 
93933,7/9/22,4305,25015,0, , 
93933,7/8/22,4305,25015,0, , 
93933,7/7/22,4305,25015,146, , 
93933,7/6/22,4159,25015,0, , 
93933,7/5/22,4159,25015,0, ,0.741687
93933,7/4/22,4159,25015,0, , 
93933,7/3/22,4159,25015,0, , 
93933,7/2/22,4159,25015,0, , 
93933,7/1/22,4159,25015,0, , 
93933,6/30/22,4159,25015,41, , 
93933,6/29/22,4118,25015,0, , 
93933,6/28/22,4118,25015,0, ,0.741176
93933,6/27/22,4118,25015,25, , 
93933,6/26/22,4093,25015,0, , 
93933,6/25/22,4093,25015,0, , 
93933,6/24/22,4093,25015,74, , 
93933,6/23/22,4019,25015,0, , 
93933,6/22/22,4019,25015,0, , 
93933,6/21/22,4019,25015,0, ,0.740665
93933,6/20/22,4019,25015,0, , 
93933,6/19/22,4019,25015,0, , 
93933,6/18/22,4019,25015,0, , 
93933,6/17/22,4019,25015,0, , 
93933,6/16/22,4019,25015,133, , 
93933,6/15/22,3886,25015,0, , 
93933,6/14/22,3886,25015,0, ,0.740115
93933,6/13/22,3886,25015,0, , 
93933,6/12/22,3886,25015,0, , 
93933,6/11/22,3886,25015,0, , 
93933,6/10/22,3886,25015,0, , 
93933,6/9/22,3886,25015,0, , 
93933,6/8/22,3886,25015,0, , 
93933,6/7/22,3886,25015,0, ,0.739486
93933,6/6/22,3886,25015,91, , 
93933,6/5/22,3795,25015,0, , 
93933,6/4/22,3795,25015,0, , 
93933,6/3/22,3795,25015,0, , 
93933,6/2/22,3795,25015,0, , 
93933,6/1/22,3795,25015,0, , 
93933,5/31/22,3795,25015,0, ,0.738896
93933,5/30/22,3795,25015,0, , 
93933,5/29/22,3795,25015,0, , 
93933,5/28/22,3795,25015,0, , 
93933,5/27/22,3795,25015,0, , 
93933,5/26/22,3795,25015,45, , 
93933,5/25/22,3750,25015,0, , 
93933,5/24/22,3750,25015,0, ,0.738071
93933,5/23/22,3750,25015,15, , 
93933,5/22/22,3735,25015,0, , 
93933,5/21/22,3735,25015,0, , 
93933,5/20/22,3735,25015,0, , 
93933,5/19/22,3735,25015,39, , 
93933,5/18/22,3696,25015,0, , 
93933,5/17/22,3696,25015,0, ,0.737363
93933,5/16/22,3696,25015,48, , 
93933,5/15/22,3648,25015,0, , 
93933,5/14/22,3648,25015,0, , 
93933,5/13/22,3648,25015,0, , 
93933,5/12/22,3648,25015,0, , 
93933,5/11/22,3648,25015,0, , 
93933,5/10/22,3648,25015,0, ,0.736617
93933,5/9/22,3648,25015,48, , 
93933,5/8/22,3600,25015,0, , 
93933,5/7/22,3600,25015,0, , 
93933,5/6/22,3600,25015,18, , 
93933,5/5/22,3582,25015,0, , 
93933,5/4/22,3582,25015,264, , 
93933,5/3/22,3318,25015,0, ,0.735673
93933,5/2/22,3318,25015,0, , 
93933,5/1/22,3318,25015,0, , 
93933,4/30/22,3318,25015,0, , 
93933,4/29/22,3318,25015,0, , 
93933,4/28/22,3318,25015,0, , 
93933,4/27/22,3318,25015,0, , 
93933,4/26/22,3318,25015,0, ,0.734926
93933,4/25/22,3318,25015,0, , 
93933,4/24/22,3318,25015,0, , 
93933,4/23/22,3318,25015,0, , 
93933,4/22/22,3318,25015,0, , 
93933,4/21/22,3318,25015,0, , 
93933,4/20/22,3318,25015,0, , 
93933,4/19/22,3318,25015,0, ,0.734376
93933,4/18/22,3318,25015,0, , 
93933,4/17/22,3318,25015,0, , 
93933,4/16/22,3318,25015,0, , 
93933,4/15/22,3318,25015,0, , 
93933,4/14/22,3318,25015,0, , 
93933,4/13/22,3318,25015,0, , 
93933,4/12/22,3318,25015,0, ,0.733354
93933,4/11/22,3318,25015,0, , 
93933,4/10/22,3318,25015,0, , 
93933,4/9/22,3318,25015,0, , 
93933,4/8/22,3318,25015,0, , 
93933,4/7/22,3318,25015,0, , 
93933,4/6/22,3318,25015,0, , 
93933,4/5/22,3318,25015,0, ,0.732332
93933,4/4/22,3318,25015,0, , 
93933,4/3/22,3318,25015,0, , 
93933,4/2/22,3318,25015,0, , 
93933,4/1/22,3318,25015,0, , 
93933,3/31/22,3318,25015,0, , 
93933,3/30/22,3318,25015,0, , 
93933,3/29/22,3318,25015,0, ,0.730682
93933,3/28/22,3318,25015,0, , 
93933,3/27/22,3318,25015,0, , 
93933,3/26/22,3318,25015,0, , 
93933,3/25/22,3318,25015,0, , 
93933,3/24/22,3318,25015,0, , 
93933,3/23/22,3318,25015,0, , 
93933,3/22/22,3318,25015,0, ,0.729384
93933,3/21/22,3318,25015,0, , 
93933,3/20/22,3318,25015,0, , 
93933,3/19/22,3318,25015,0, , 
93933,3/18/22,3318,25015,0, , 
93933,3/17/22,3318,25015,0, , 
93933,3/16/22,3318,25015,0, , 
93933,3/15/22,3318,25015,0, ,0.728205
93933,3/14/22,3318,25015,0, , 
93933,3/13/22,3318,25015,0, , 
93933,3/12/22,3318,25015,0, , 
93933,3/11/22,3318,25015,0, , 
93933,3/10/22,3318,25015,0, , 
93933,3/9/22,3318,25015,0, , 
93933,3/8/22,3318,25015,0, ,0.726358
93933,3/7/22,3318,25015,0, , 
93933,3/6/22,3318,25015,0, , 
93933,3/5/22,3318,25015,0, , 
93933,3/4/22,3318,25015,0, , 
93933,3/3/22,3318,25015,0, , 
93933,3/2/22,3318,25015,6, , 
93933,3/1/22,3312,25015,11, ,0.724236
93933,2/28/22,3301,25015,3, , 
93933,2/27/22,3298,25015,0, , 
93933,2/26/22,3298,25015,0, , 
93933,2/25/22,3298,25015,5, , 
93933,2/24/22,3293,25015,19, , 
93933,2/23/22,3274,25015,15, , 
93933,2/22/22,3259,25015,20, ,0.722152
93933,2/21/22,3239,25015,0, , 
93933,2/20/22,3239,25015,0, , 
93933,2/19/22,3239,25015,0, , 
93933,2/18/22,3239,25015,23, , 
93933,2/17/22,3216,25015,2, , 
93933,2/16/22,3214,25015,27, , 
93933,2/15/22,3187,25015,2, ,0.720069
93933,2/14/22,3185,25015,13, , 
93933,2/13/22,3172,25015,0, , 
93933,2/12/22,3172,25015,0, , 
93933,2/11/22,3172,25015,280, , 
93933,2/10/22,2892,25015,21, , 
93933,2/9/22,2871,25015,7, , 
93933,2/8/22,2864,25015,13, ,0.716768
93933,2/7/22,2851,25015,10, , 
93933,2/6/22,2841,25015,0, , 
93933,2/5/22,2841,25015,0, , 
93933,2/4/22,2841,25015,10, , 
93933,2/3/22,2831,25015,29, , 
93933,2/2/22,2802,25015,83, , 
93933,2/1/22,2719,25015,31, ,0.71209
93933,1/31/22,2688,25015,19, , 
93933,1/30/22,2669,25015,0, , 
93933,1/29/22,2669,25015,0, , 
93933,1/28/22,2669,25015,55, , 
93933,1/27/22,2614,25015,126, , 
93933,1/26/22,2488,25015,27, , 
93933,1/25/22,2461,25015,10, ,0.708317
93933,1/24/22,2451,25015,65, , 
93933,1/23/22,2386,25015,0, , 
93933,1/22/22,2386,25015,0, , 
93933,1/21/22,2386,25015,5, , 
93933,1/20/22,2381,25015,54, , 
93933,1/19/22,2327,25015,100, , 
93933,1/18/22,2227,25015,76, ,0.705566
93933,1/17/22,2151,25015,0, , 
93933,1/16/22,2151,25015,0, , 
93933,1/15/22,2151,25015,0, , 
93933,1/14/22,2151,25015,29, , 
93933,1/13/22,2122,25015,29, , 
93933,1/12/22,2093,25015,9, , 
93933,1/11/22,2084,25015,30, ,0.701517
93933,1/10/22,2054,25015,89, , 
93933,1/9/22,1965,25015,0, , 
93933,1/8/22,1965,25015,0, , 
93933,1/7/22,1965,25015,24, , 
93933,1/6/22,1941,25015,26, , 
93933,1/5/22,1915,25015,15, , 
93933,1/4/22,1900,25015,17, ,0.695818
93933,1/3/22,1883,25015,59, , 
93933,1/2/22,1824,25015,0, , 
93933,1/1/22,1824,25015,0, , 
93933,12/31/21,1824,25015,0, , 
93933,12/30/21,1824,25015,11, , 
93933,12/29/21,1813,25015,6, , 
93933,12/28/21,1807,25015,29, ,0.692045
93933,12/27/21,1778,25015,0, , 
93933,12/26/21,1778,25015,0, , 
93933,12/25/21,1778,25015,0, , 
93933,12/24/21,1778,25015,8, , 
93933,12/23/21,1770,25015,0, , 
93933,12/22/21,1770,25015,2, , 
93933,12/21/21,1768,25015,6, ,0.687839
93933,12/20/21,1762,25015,12, , 
93933,12/19/21,1750,25015,0, , 
93933,12/18/21,1750,25015,0, , 
93933,12/17/21,1750,25015,13, , 
93933,12/16/21,1737,25015,45, , 
93933,12/15/21,1692,25015,0, , 
93933,12/14/21,1692,25015,0, ,0.682769
93933,12/13/21,1692,25015,0, , 
93933,12/12/21,1692,25015,0, , 
93933,12/11/21,1692,25015,0, , 
93933,12/10/21,1692,25015,0, , 
93933,12/9/21,1692,25015,0, , 
93933,12/8/21,1692,25015,0, , 
93933,12/7/21,1692,25015,4, ,0.675458
93933,12/6/21,1688,25015,6, , 
93933,12/5/21,1682,25015,0, , 
93933,12/4/21,1682,25015,0, , 
93933,12/3/21,1682,25015,4, , 
93933,12/2/21,1678,25015,6, , 
93933,12/1/21,1672,25015,1, , 
93933,11/30/21,1671,25015,2, ,0.665553
93933,11/29/21,1669,25015,5, , 
93933,11/28/21,1664,25015,0, , 
93933,11/27/21,1664,25015,0, , 
93933,11/26/21,1664,25015,0, , 
93933,11/25/21,1664,25015,0, , 
93933,11/24/21,1664,25015,1, , 
93933,11/23/21,1663,25015,2, ,0.660915
93933,11/22/21,1661,25015,3, , 
93933,11/21/21,1658,25015,0, , 
93933,11/20/21,1658,25015,0, , 
93933,11/19/21,1658,25015,7, , 
93933,11/18/21,1651,25015,0, , 
93933,11/17/21,1651,25015,0, , 
93933,11/16/21,1651,25015,0, ,0.657928
93933,11/15/21,1651,25015,4, , 
93933,11/14/21,1647,25015,0, , 
93933,11/13/21,1647,25015,0, , 
93933,11/12/21,1647,25015,8, , 
93933,11/11/21,1639,25015,0, , 
93933,11/10/21,1639,25015,0, , 
93933,11/9/21,1639,25015,4, ,0.654705
93933,11/8/21,1635,25015,3, , 
93933,11/7/21,1632,25015,0, , 
93933,11/6/21,1632,25015,0, , 
93933,11/5/21,1632,25015,1, , 
93933,11/4/21,1631,25015,0, , 
93933,11/3/21,1631,25015,-1, , 
93933,11/2/21,1632,25015,3, ,0.651246
93933,11/1/21,1629,25015,4, , 
93933,10/31/21,1625,25015,0, , 
93933,10/30/21,1625,25015,0, , 
93933,10/29/21,1625,25015,-4, , 
93933,10/28/21,1629,25015,0, , 
93933,10/27/21,1629,25015,3, , 
93933,10/26/21,1626,25015,2, ,0.648613
93933,10/25/21,1624,25015,7, , 
93933,10/24/21,1617,25015,0, , 
93933,10/23/21,1617,25015,19, , 
93933,10/22/21,1598,25015,0, , 
93933,10/21/21,1598,25015,0, , 
93933,10/20/21,1598,25015,0, , 
93933,10/19/21,1598,25015,0, ,0.645429
93933,10/18/21,1598,25015,0, , 
93933,10/17/21,1598,25015,0, , 
93933,10/16/21,1598,25015,0, , 
93933,10/15/21,1598,25015,0, , 
93933,10/14/21,1598,25015,0, , 
93933,10/13/21,1598,25015,0, , 
93933,10/12/21,1598,25015,0, ,0.642009
93933,10/11/21,1598,25015,4, , 
93933,10/10/21,1594,25015,0, , 
93933,10/9/21,1594,25015,0, , 
93933,10/8/21,1594,25015,0, , 
93933,10/7/21,1594,25015,1, , 
93933,10/6/21,1593,25015,2, , 
93933,10/5/21,1591,25015,-1, ,0.639337
93933,10/4/21,1592,25015,8, , 
93933,10/3/21,1584,25015,0, , 
93933,10/2/21,1584,25015,0, , 
93933,10/1/21,1584,25015,0, , 
93933,9/30/21,1584,25015,0, , 
93933,9/29/21,1584,25015,4, , 
93933,9/28/21,1580,25015,1, ,0.635485
93933,9/27/21,1579,25015,5, , 
93933,9/26/21,1574,25015,0, , 
93933,9/25/21,1574,25015,0, , 
93933,9/24/21,1574,25015,5, , 
93933,9/23/21,1569,25015,0, , 
93933,9/22/21,1569,25015,0, , 
93933,9/21/21,1569,25015,0, ,0.631436
93933,9/20/21,1569,25015,0, , 
93933,9/19/21,1569,25015,0, , 
93933,9/18/21,1569,25015,0, , 
93933,9/17/21,1569,25015,4, , 
93933,9/16/21,1565,25015,2, , 
93933,9/15/21,1563,25015,5, , 
93933,9/14/21,1558,25015,1, ,0.626248
93933,9/13/21,1557,25015,16, , 
93933,9/12/21,1541,25015,0, , 
93933,9/11/21,1541,25015,0, , 
93933,9/10/21,1541,25015,6, , 
93933,9/9/21,1535,25015,0, , 
93933,9/8/21,1535,25015,3, , 
93933,9/7/21,1532,25015,13, ,0.620745
93933,9/6/21,1519,25015,0, , 
93933,9/5/21,1519,25015,0, , 
93933,9/4/21,1519,25015,0, , 
93933,9/3/21,1519,25015,4, , 
93933,9/2/21,1515,25015,1, , 
93933,9/1/21,1514,25015,7, , 
93933,8/31/21,1507,25015,18, ,0.615989
93933,8/30/21,1489,25015,3, , 
93933,8/29/21,1486,25015,0, , 
93933,8/28/21,1486,25015,0, , 
93933,8/27/21,1486,25015,9, , 
93933,8/26/21,1477,25015,2, , 
93933,8/25/21,1475,25015,3, , 
93933,8/24/21,1472,25015,7, ,0.610801
93933,8/23/21,1465,25015,9, , 
93933,8/22/21,1456,25015,4, , 
93933,8/21/21,1452,25015,0, , 
93933,8/20/21,1452,25015,0, , 
93933,8/19/21,1452,25015,0, , 
93933,8/18/21,1452,25015,3, , 
93933,8/17/21,1449,25015,6, ,0.603923
93933,8/16/21,1443,25015,4, , 
93933,8/15/21,1439,25015,12, , 
93933,8/14/21,1427,25015,0, , 
93933,8/13/21,1427,25015,0, , 
93933,8/12/21,1427,25015,0, , 
93933,8/11/21,1427,25015,0, , 
93933,8/10/21,1427,25015,0, ,0.59783
93933,8/9/21,1427,25015,17, , 
93933,8/8/21,1410,25015,0, , 
93933,8/7/21,1410,25015,0, , 
93933,8/6/21,1410,25015,1, , 
93933,8/5/21,1409,25015,5, , 
93933,8/4/21,1404,25015,10, , 
93933,8/3/21,1394,25015,0, ,0.592996
93933,8/2/21,1394,25015,8, , 
93933,8/1/21,1386,25015,0, , 
93933,7/31/21,1386,25015,0, , 
