Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
94132,2/17/23,5277,31488,6,522000, 
94132,2/16/23,5271,31488,4,486818.8, 
94132,2/15/23,5267,31488,1, , 
94132,2/14/23,5266,31488,3,122000,0.703684
94132,2/13/23,5263,31488,1,472000, 
94132,2/12/23,5262,31488,4,613000, 
94132,2/11/23,5258,31488,5,234000, 
94132,2/10/23,5253,31488,1,273000, 
94132,2/9/23,5252,31488,4,262000, 
94132,2/8/23,5248,31488,3,723689.8, 
94132,2/7/23,5245,31488,1,291000,0.703556
94132,2/6/23,5244,31488,-10,447944.8, 
94132,2/5/23,5254,31488,0, , 
94132,2/4/23,5254,31488,0,866000, 
94132,2/3/23,5254,31488,0,214000, 
94132,2/2/23,5254,31488,0,124000, 
94132,2/1/23,5254,31488,0,617535.4, 
94132,1/31/23,5254,31488,2,171000,0.703493
94132,1/30/23,5252,31488,2,664233.8, 
94132,1/29/23,5250,31488,3,601623.3, 
94132,1/28/23,5247,31488,0,159000, 
94132,1/27/23,5247,31488,0,132000, 
94132,1/26/23,5247,31488,1,262000, 
94132,1/25/23,5246,31488,2,291606.4, 
94132,1/24/23,5244,31488,2,202000,0.703302
94132,1/23/23,5242,31488,1,506768.6, 
94132,1/22/23,5241,31488,1, , 
94132,1/21/23,5240,31488,1,102000, 
94132,1/20/23,5239,31488,0,146000, 
94132,1/19/23,5239,31488,0,256000, 
94132,1/18/23,5239,31488,2, , 
94132,1/17/23,5237,31488,0, ,0.702952
94132,1/16/23,5237,31488,2,45862.43057, 
94132,1/15/23,5235,31488,3,126000, 
94132,1/14/23,5232,31488,5,74000, 
94132,1/13/23,5227,31488,4,3320000, 
94132,1/12/23,5223,31488,1,194000, 
94132,1/11/23,5222,31488,7,342000, 
94132,1/10/23,5215,31488,1,179000,0.702666
94132,1/9/23,5214,31488,4,303019.1, 
94132,1/8/23,5210,31488,4,458000, 
94132,1/7/23,5206,31488,7,570000, 
94132,1/6/23,5199,31488,1,422000, 
94132,1/5/23,5198,31488,4,118000, 
94132,1/4/23,5194,31488,12,402000, 
94132,1/3/23,5182,31488,0,141000,0.702634
94132,1/2/23,5182,31488,3,605000, 
94132,1/1/23,5179,31488,6,254785.4106, 
94132,12/31/22,5173,31488,2,219000, 
94132,12/30/22,5171,31488,1,204000, 
94132,12/29/22,5170,31488,3,713000, 
94132,12/28/22,5167,31488,13,1170449.951, 
94132,12/27/22,5154,31488,0,636000,0.702348
94132,12/26/22,5154,31488,11,1008175.6, 
94132,12/25/22,5143,31488,8,2219036.9, 
94132,12/24/22,5135,31488,13,471000, 
94132,12/23/22,5122,31488,3,604000, 
94132,12/22/22,5119,31488,2,1500493.53, 
94132,12/21/22,5117,31488,4,434000, 
94132,12/20/22,5113,31488,6,818000,0.702125
94132,12/19/22,5107,31488,6,2085266.073, 
94132,12/18/22,5101,31488,5,1283751.221, 
94132,12/17/22,5096,31488,9,600000, 
94132,12/16/22,5087,31488,5,339000, 
94132,12/15/22,5082,31488,8,615000, 
94132,12/14/22,5074,31488,4,1280593.4, 
94132,12/13/22,5070,31488,6,637000,0.701807
94132,12/12/22,5064,31488,9,328459.3, 
94132,12/11/22,5055,31488,8,229000, 
94132,12/10/22,5047,31488,9,538000, 
94132,12/9/22,5038,31488,3,413000, 
94132,12/8/22,5035,31488,2,652000, 
94132,12/7/22,5033,31488,6,1421338.908, 
94132,12/6/22,5027,31488,15,854000,0.701711
94132,12/5/22,5012,31488,10,1120031.087, 
94132,12/4/22,5002,31488,5,2239658.691, 
94132,12/3/22,4997,31488,14,931000, 
94132,12/2/22,4983,31488,4,462000, 
94132,12/1/22,4979,31488,6,473000, 
94132,11/30/22,4973,31488,8,2118257.894, 
94132,11/29/22,4965,31488,16,647000,0.701648
94132,11/28/22,4949,31488,0,1896327.3, 
94132,11/27/22,4949,31488,0,1490086, 
94132,11/26/22,4949,31488,6,734000, 
94132,11/25/22,4943,31488,1,870000, 
94132,11/24/22,4942,31488,3,475000, 
94132,11/23/22,4939,31488,3,498000, 
94132,11/22/22,4936,31488,8,264000,0.701393
94132,11/21/22,4928,31488,2,1196960.409, 
94132,11/20/22,4926,31488,4,1141664.714, 
94132,11/19/22,4922,31488,4,366000, 
94132,11/18/22,4918,31488,0,188000, 
94132,11/17/22,4918,31488,-1,197000, 
94132,11/16/22,4919,31488,3,950993.8, 
94132,11/15/22,4916,31488,14,267000,0.701075
94132,11/14/22,4902,31488,0,617528.5441, 
94132,11/13/22,4902,31488,1,734693.7866, 
94132,11/12/22,4901,31488,3, , 
94132,11/11/22,4898,31488,5,289000, 
94132,11/10/22,4893,31488,1,449000, 
94132,11/9/22,4892,31488,3,855680.6437, 
